"Community",Occurrence Births,Resident Births,Low Birthweight,"Teen Births,
 < 20 years",Infant Deaths,Neonatal Deaths
Hardwick,0,23,--1,0,0,0
Harvard,0,44,--1,0,0,0
Harwich,0,102,--1,3,0,0
Hatfield,0,18,0,0,0,0
Haverhill,314,848,68,68,4,4
Hawley,0,2,0,0,0,0
Heath,0,10,--1,1,0,0
Hingham,0,291,12,2,0,0
Hinsdale,0,10,0,1,0,0
Holbrook,0,139,11,1,0,0
Holden,0,167,16,4,0,0
Holland,0,23,0,2,0,0
Holliston,0,199,15,1,1,0
Holyoke,398,663,62,138,2,2
Hopedale,0,84,--1,1,0,0
Hopkinton,1,227,13,2,1,1
Hubbardston,0,59,5,1,0,0
Hudson,1,250,21,9,0,0
Hull,0,107,9,3,0,0
Huntington,0,22,0,0,0,0
Ipswich,1,121,12,4,0,0
Kingston,0,178,9,3,1,1
Lakeville,0,130,9,11,0,0
Lancaster,2,73,--1,3,2,1
Lanesborough,0,32,--1,0,0,0
Lawrence,1400,1416,104,284,10,8
Lee,0,45,--1,2,0,0
Leicester,0,117,5,8,1,1
Lenox,2,40,--1,1,0,0
Leominster,1403,589,35,64,1,1
Leverett,1,10,0,1,0,0
Lexington,0,303,15,3,0,0
Leyden,0,2,0,0,0,0
Lincoln,0,106,14,0,0,0
Littleton,0,135,6,1,0,0
Longmeadow,0,139,6,1,0,0
Lowell,2830,1761,134,251,10,9
Ludlow,0,169,11,10,0,0
Lunenburg,1,111,5,3,0,0
Lynn,2,1446,112,194,12,9
Lynnfield,0,126,7,0,1,1
Malden,0,823,67,26,1,1
Manchester-by-the-Sea,0,45,--1,0,0,0
Mansfield,1,414,28,6,1,0
Marblehead,0,240,8,0,2,2
Marion,0,43,--1,0,3,3
Marlborough,4,617,43,36,2,2
Marshfield,0,357,21,7,1,0
Mashpee,1,152,17,4,1,0
Mattapoisett,0,61,6,1,0,0
Maynard,0,174,16,4,1,1
Medfield,1,151,10,1,0,0
Medford,3,605,46,11,2,2
Medway,0,211,19,3,2,2
Melrose,2049,383,25,6,0,0
Mendon,0,61,5,1,0,0
Merrimac,0,78,8,0,0,0
Methuen,1372,592,47,35,8,8
Middleborough,0,251,13,14,0,0
Middlefield,0,3,0,0,0,0
Middleton,0,81,5,3,0,0
Milford,776,375,25,20,3,2
Millbury,0,142,12,9,1,0
Millis,1,118,6,3,0,0
Millville,0,39,--1,0,0,0
Milton,0,312,12,5,0,0
Monroe,0,1,--1,1,0,0
Monson,0,98,--1,10,0,0
Montague,5,96,7,11,0,0
Monterey,0,9,--1,2,0,0
Montgomery,0,12,--1,1,0,0
Mount Washington,0,2,0,0,0,0
Nahant,0,33,0,0,0,0
Nantucket,102,141,10,6,1,1
Natick,1,503,29,5,0,0
Needham,2,401,18,0,1,0
New Ashford,0,5,0,0,0,0
New Bedford,1559,1311,93,198,6,4
New Braintree,0,6,--1,0,0,0
New Marlborough,0,17,0,1,0,0
New Salem,0,12,--1,0,0,0
Newbury,0,61,--1,1,0,0
Newburyport,900,203,12,9,0,0
Newton,3321,886,73,8,4,3
Norfolk,1,129,9,0,0,0
North Adams,319,141,7,31,0,0
North Andover,0,370,15,1,1,1
North Attleboro,2,413,31,11,1,1
North Brookfield,0,51,--1,2,0,0
North Reading,0,202,17,1,1,1
Northampton,904,235,14,12,0,0
Northborough,0,175,10,3,0,0
Northbridge,0,197,12,14,0,0
Northfield,0,26,--1,0,0,0
Norton,0,275,23,16,0,0
Norwell,0,120,--1,2,0,0
Norwood,631,347,21,10,1,1
Oak Bluffs,108,26,--1,1,0,0
Oakham,0,18,--1,0,0,0
Orange,0,81,5,11,0,0
Orleans,0,23,--1,0,0,0
Otis,0,10,0,1,0,0
Oxford,1,170,10,7,0,0
Palmer,1,129,7,16,0,0
Paxton,0,33,--1,3,1,1
Peabody,1,539,33,20,6,4
Pelham,0,9,0,0,0,0
Pembroke,0,275,14,5,1,0
Pepperell,0,149,5,8,0,0
Peru,0,8,0,0,0,0
Petersham,0,11,--1,2,0,0
Phillipston,0,16,--1,2,0,0
Pittsfield,777,484,44,58,1,0
Plainfield,0,5,0,0,0,0
Plainville,1,105,--1,5,0,0
Plymouth,786,677,40,23,4,3
Plympton,0,33,--1,0,0,0
Princeton,0,25,--1,1,0,0
Provincetown,0,4,0,0,0,0
Quincy,2,1151,84,39,5,4
Randolph,1,445,36,14,2,2
Raynham,0,124,9,4,1,1
Reading,1,287,19,9,2,1
Rehoboth,1,103,8,3,0,0
Revere,1,628,52,35,0,0
Richmond,0,10,0,0,0,0
Rochester,0,43,--1,1,0,0
Rockland,0,230,19,19,2,2
Rockport,0,60,--1,0,0,0
Rowe,0,5,0,0,0,0
Rowley,0,69,--1,1,0,0
Royalston,0,7,0,1,0,0
Russell,0,14,0,2,0,0
Rutland,1,110,8,3,0,0
Salem,1703,515,28,34,1,0
Salisbury,0,98,7,13,1,1
Sandisfield,0,5,0,0,0,0
Sandwich,1,218,7,4,0,0
Saugus,0,286,25,7,1,1
Savoy,0,6,0,1,0,0
Scituate,1,202,10,2,0,0
Seekonk,1,135,14,7,1,1
Sharon,2,213,15,3,1,1
Sheffield,1,28,0,1,0,0
Shelburne,0,21,--1,2,0,0
Sherborn,1,52,--1,0,1,1
Shirley,0,64,--1,4,0,0
Shrewsbury,0,462,19,5,0,0
Shutesbury,3,18,0,0,0,0
Somerset,0,138,8,9,1,1
Somerville,4,928,63,47,6,5
South Hadley,0,143,7,6,0,0
Southampton,0,56,--1,2,0,0
Southborough,1,154,7,2,0,0
Southbridge,443,242,19,39,0,0
Southwick,1,113,--1,8,0,0
Spencer,0,139,10,13,1,0
Springfield,5912,2503,227,477,15,8
Sterling,0,94,7,2,1,1
Stockbridge,0,10,0,1,0,0
Stoneham,0,263,18,2,1,1
Stoughton,1,320,27,12,0,0
Stow,1,88,5,0,0,0
Sturbridge,0,91,6,5,1,1
Sudbury,1,236,9,1,1,0
Sunderland,0,33,0,2,0,0
Sutton,0,123,9,4,1,1
Swampscott,0,175,11,1,1,1
Swansea,0,139,8,6,1,1
Taunton,637,769,64,62,2,1
Templeton,0,88,10,4,0,0
Tewksbury,0,391,24,8,1,0
Tisbury,1,37,--1,3,0,0
Tolland,0,4,--1,0,0,0
Topsfield,0,69,--1,0,0,0
Townsend,1,115,6,4,0,0
Truro,0,14,0,0,0,0
Tyngsborough,0,187,12,8,0,0
Tyringham,0,2,0,0,0,0
Upton,1,112,11,3,1,0
Uxbridge,0,186,13,3,1,1
Wakefield,0,351,20,1,0,0
Wales,0,20,--1,1,0,0
Walpole,0,303,18,4,0,0
Waltham,302,684,38,16,3,1
Ware,196,109,9,9,1,1
Wareham,488,225,9,20,0,0
Warren,0,58,--1,5,0,0
Warwick,1,9,0,1,0,0
Washington,0,1,0,0,0,0
Watertown,2,388,27,6,2,1
Wayland,2,180,9,0,1,1
Webster,1,195,13,14,0,0
Wellesley,88,351,21,1,0,0
Wellfleet,0,17,--1,2,0,0
Wendell,0,5,--1,0,1,1
Wenham,0,31,0,0,0,0
West Boylston,0,59,--1,2,0,0
West Bridgewater,0,81,--1,6,0,0
West Brookfield,0,30,--1,3,0,0
West Newbury,0,47,--1,0,0,0
West Springfield,0,291,14,23,0,0
West Stockbridge,0,7,0,1,0,0
West Tisbury,2,32,--1,0,0,0
Westborough,3,243,21,10,3,3
Westfield,1,447,29,30,4,3
Westford,0,317,20,2,0,0
Westhampton,0,14,0,0,0,0
Westminster,0,77,--1,2,0,0
Weston,1,93,8,0,0,0
Westport,0,126,8,6,1,1
Westwood,0,193,10,1,0,0
Weymouth,3883,757,52,19,4,4
Whately,0,10,--1,0,0,0
Whitman,0,195,17,6,1,1
Wilbraham,0,115,7,2,0,0
Williamsburg,0,22,--1,0,0,0
Williamstown,0,46,--1,0,1,0
Wilmington,0,318,15,2,2,2
Winchendon,1,118,9,12,0,0
Winchester,2478,298,6,1,0,0
Windsor,1,6,--1,0,0,0
Winthrop,0,171,15,7,0,0
Woburn,2,485,28,19,4,2
Worcester,6223,2535,220,297,25,18
Worthington,0,11,--1,1,0,0
Wrentham,0,148,10,4,0,0
Yarmouth,0,204,15,14,3,3
